GLO_WORD;GLO_TEXT
ABSOLUTE ALTITUDE;Moon is a 1086 miles radius mean sphere. Absolute altitudes given on different maps refer to this radius. Formation absolute altitude can be negative.
AGE OF MOON;Time period in days elapsed since last NEW MOON.
ALBEDO;Ratio between light quantity received by a celestial body and reflected quantity. A totally reflecting body has an albedo equal to 1 and a totally absorbing body has an albedo equal to 0.
ANNULAR ECLIPSE;On some TOTAL ECLIPSEs and when Moon distance is the greatest, the lunar disk can't completely hide the sun disk and a luminous ring remains visible.
ANOMALISTIC MONTH;Time period separating two Moons located on the LUNAR ORBIT PERIGEE.
APOGEE;Furthest point of the elliptical orbit of an Earth orbiting celestial body.
APOLLO;American human missions program to land on the Moon.
ASCENDING MOON;Popular expression describing the period between the NEW MOON and the FULL MOON and including the FIRST QUARTER.
ASH LIGHT;Lunar phenomenon between NEW MOON and FIRST or LAST QUARTERs, when Moon has a crescent shape. The non-lit part of the lunar disk is slightly visible because it receives light reflected by Earth also called EARTH SHINE.
BASALT;Igneous rock which can be found as solidified LAVAs and present in the magma. Several kinds have been found in lunar rocks brought back to Earth by Apollo missions.
CALDERA;Large sized VOLCANO CRATER.
CATENA;Latin word used by International Astronomical Union (IAU) to name officially a craters chain.
COLONGITUDE;Mathematical data obtained from existing tables used to know SELENOGRAPHIC LONGITUDE of MORNING TERMINATOR or EVENING TERMINATOR.
CONTINENT;Large mountainous or tormented lunar surface area.
CRATER;On the Moon, generally circular formation coming from meteoritic impacts. CRATER SHAPED FORMATIONs are called craters in DBMOON if their diameter is more than 5 miles. LENGTH is equal to WIDTH but exceptions (Schiller).
CRATER SHAPED FORMATION;Crater shaped formation are created by meteoritic impacts (CRATER, CRATERLET and WALLED PLAIN). They are composed with SLOPES rising above surrounding areas, WALLS descending in the formation and an internal FLOOR.
CRATERLET;Small diameter CRATER SHAPED FORMATION with bowl shape and rounded FLOOR.
DBMOON;The database of the Virtual Moon Atlas, written by Christian Legrand.
DESCENDING MOON;Popular expression about the period separating the FULL MOON from the NEW MOON and including LAST QUARTER.
DOME;Lunar hill shaped and certainly volcanic formation. Some of them have a CALDERA on their summit. Domes diameter are comprised between 5 and 10 miles and their HEIGHT is less than few hundred meters.
DOMES NETWORK;A great DOMEs complex all located on a same lunar area.
