NOM_SITE;SITE_NAME;LANGUE;LANGUAGE;THEME_FR;THEME_EN;SOUS_THEME;SUB_THEME;ADDRESS;DESCRIPTION_FR;DESCRIPTION_EN;DATE D'ENREGISTREMENT;RECORDING DATE
ALL ABOUT SPACE;ALL ABOUT SPACE;Anglais;English;Magazine d'astronomie;Astronomy magazine;Articles sur la Lune;Moon articles;https://www.spaceanswers.com/;Magazine anglais d'astronomie d'amateur - Articles sur la Lune;UK amateur astronomy magazine - Moon article;17.10.2012;17.10.2012
ALPO / SECTION LUNE;ALPO / LUNAR SECTION;Anglais;English;Organisme non officiel;Non official organization;Association d'amateurs;Amateurs association;http://www.alpo-astronomy.org/lunarblog/;Association américaine des observateurs planétaires et lunaires / Section Lune;American Lunar and Planetary Observers / Lunar section;06.09.2012;06.09.2012
ARCHIVES DES IMAGES APOLLO;APOLLO IMAGE ARCHIVE;Anglais;English;Organisme officiel;Official organization;Missions Apollo;Apollo missions;http://apollo.sese.asu.edu/SUPPORT_DATA/;Banque d'images des missions Apollo gérée par l'Université de l'Arizona;Pictures bank of Apollo missions settled by Arizona State University;06.09.2012;06.09.2012
ASTRONOMINSK;ASTRONOMINSK;Anglais;English;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;http://www.astronominsk.org/Moon/Moon_en.htm;Les magnifiques images lunaires d'une équipe d'amateurs biélorusses ;Marvelous lunar pictures of a belarussian team;06.09.2012;06.09.2012
ASTRONOMY MAGAZINE;ASTRONOMY MAGAZINE;Anglais;English;Magazine d'astronomie;Astronomy magazine;Articles sur la Lune;Moon articles;https://www.astronomy.com/;Magazine US d'astronomie d'amateur - Articles sur la Lune;US amateur astronomy magazine - Moon article;17.10.2012;17.10.2012
ASTROSURF;ASTROSURF;Français;French;Magazine d'astronomie;Astronomy magazine;Articles sur la Lune;Moon articles;http://www.astrosurf.com/;Magazine français d'astronomie d'amateur - Articles sur la Lune - Rubrique Lune Extrême - Forum d'observation et d'imagerie lunaires;French amateur astronomy magazine - Moon related articles - Extreme Moon chronicle - Lunar observing and imaging forums;24/09/2022;24/09/2022
ATLAS LUNAIRE D'ALAN CHU;ALAN CHU LUNAR ATLAS;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire amateur;Amateur lunar atlas;http://www.alanchuhk.com/;L'atlas photographique lunaire réalisé par Alan Chu;Photographic lunar atlas realized by Alan Chu;14/10/2022;14/10/2022
ATLAS LUNAIRE DE JEROME GRENIER;JEROME GRENIER LUNAR ATLAS;Français;French;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire amateur;Amateur lunar atlas;http://jeromegrenier.free.fr/atlas.htm;L'atlas photographique lunaire réalisé par Jérôme Grenier;Photographic lunar atlas realized by Jerome Grenier;14/10/2022;14/10/2022
ATLAS LUNAIRE RECTIFIE;THE RECTIFED LUNAR ATLAS;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire professionnel;Professional lunar atlas;https://www.lpl.arizona.edu/sic/collection/rla;Le supplément au célèbre atlas lunaire de l'ère pré-spatiale réalisé Gerald P. Kuiper, Ewen A. Whitaker et al.;The add_on to the famous pre-spatial lunar atlas realized by Gerald P. Kuiper, Ewen A. Whitaker et al.;24/09/2022;24/09/2022
ATLAS LUNAIRES DE FRED DASE;FRED DASE LUNAR ATLAS;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire amateur;Amateur lunar atlas;https://web.archive.org/web/20180129052121/http://www.astronomylogs.com/pages/moon.html;L'atlas photographique lunaire réalisé par Fred Dase;Photographic lunar atlas realized by Fred Dase;14/10/2022;14/10/2022
ATLAS VIRTUEL DE LA LUNE;VIRTUAL MOON ATLAS;Multilingues;Multilanguages;Logiciel lunaire;Lunar software;Atlas lunaire;Lunar atlas;http://www.ap-i.net/avl/start;Le site Web de l'Atlas Virtuel de la Lune;Virtual Moon Atlas Web site;06.09.2012;06.09.2012
BRITISH ASTRONOMICAL SOCIETY / LUNAR SECTION;BRITISH ASTRONOMICAL SOCIETY / LUNAR SECTION;Anglais;English;Organisme non officiel;Non official organization;Association d'amateurs;Amateurs association;https://britastro.org/sections/lunar;La section des observateurs lunaires de la British Astronomical Association;The lunar observers section of the British astronomical association;16.10.2012;16.10.2012
CENTRE SPATIAL JOHNSON DE LA NASA;NASA JOHNSON SPACE CENTER;Anglais;English;Organisme officiel;Official organization;Missions Apollo;Apollo missions;https://nasasearch.nasa.gov/search?query=apollo&affiliate=nasa&utf8=%E2%9C%93;Banque d'images des missions humaines américaines gérée par le Centre Spatial Johnson;Pictures bank of human missions settled by Johnson Space Center;06.09.2012;06.09.2012
CHANG'E 3 DATA  ROVER PANORAMIC CAMERA (PCAM);CHANG'E 3 DATA  ROVER PANORAMIC CAMERA (PCAM);Anglais;English;Sondes lunaires;Lunar probes;Sondes chinoises;Chinese probes;https://planetary.s3.amazonaws.com/data/change3/pcam.html;Les images panoramiques prise par le rover Yutu 2 de la mission Changé 3;Panoramic images taken by the Yutu 2 rover of Change 3 mission;14/10/2022;14/10/2022
CHANG'E 3 DATA: LANDER TERRAIN CAMERA (TCAM);CHANG'E 3 DATA: LANDER TERRAIN CAMERA (TCAM);Anglais;English;Sondes lunaires;Lunar probes;Sondes chinoises;Chinese probes;https://planetary.s3.amazonaws.com/data/change3/tcam.html;Les images prises par le lander de la mission Changé 3;Images taken by the Change 3 mission lander;14/10/2022;14/10/2022
CHRONOLOGIE LUNAIRE NASA;NASA LUNAR TIMELINE;Anglais;English;Sondes lunaires;Lunar probes;Sondes tous pays;All countries probes;https://nssdc.gsfc.nasa.gov/planetary/lunar/lunartimeline.html;Fiches de la NASA sur toutes les missions lunaires;NASA informations on all lunar missions;06.09.2012;06.09.2012
CIEL ET ESPACE;CIEL ET ESPACE;Français;French;Magazine d'astronomie;Astronomy magazine;Articles sur la Lune;Moon articles;http://www.cieletespace.fr/;La plus importante revue d'astronomie amateur de France;The most important french amateur astronomy magazine;06.09.2012;06.09.2012
CNSA / CHANG'E 1;CNSA / CHANG'E 1;Anglais;English;Sondes lunaires;Lunar probes;Sondes chinoises;Chinese probes;http://www.china.org.cn/english/china/229354.htm;Site officiel de la mission Chang'e 1 de la China National Space Agency;Official site of Chang'e 1 mission of China National Space Agency;30/06/2011;30/06/2011
CNSA / CHANGE 4;CNSA / CHANGE 4;Chinois / Anglais;Chinese / English;Sondes lunaires;Lunar probes;Sondes chinoises;Chinese probes;http://siyu.china-vo.org/ChangE-4/TCAM/;Les images de la TCAM du lander de la mission Chang'é 4;ChangE 4 lander TCAM camera images;04/10/2022;04/10/2022
DER MOND / JULIUS SCHMIDT;DER MOND / JULIUS SCHMIDT;Allemand;German;Livre en ligne;On line e-book;Livre ancien;Vintage book;https://archive.org/details/bub_gb_EoU_AAAAcAAJ;Le livre et l'atlas lunaire de Julius Schmidt;The book and lunar atlas by Julius Schmidt;17.10.2012;17.10.2012
ESA / SMART 1 HOMEPAGE;ESA / SMART 1 HOMEPAGE;Anglais;English;Sondes lunaires;Lunar probes;Sondes européennes;European probes;http://www.esa.int/esaMI/SMART-1/SEMEZ2N0LYE_0.html;Site officiel de la mission Smart 1 de l'European Space Agency;Official site of European Space Agency Smart 1 mission;30/06/2011;30/06/2011
ESA / SMART 1 IMAGES;ESA / SMART 1 IMAGES;Anglais;English;Sondes lunaires;Lunar probes;Sondes européennes;European probes;http://www.esa.int/esa-mmg/mmg.pl?b=b&type=I&mission=SMART-1&start=1;Images de la sonde Smart 1 de l'European Space Agency  ;European Space Agency probe Smart 1 pictures ;30/06/2011;30/06/2011
ESA / SMART-1;ESA / SMART-1;Anglais;English;Sondes lunaires;Lunar probes;Sondes européennes;European probes;https://www.cosmos.esa.int/web/psa/smart-1;Les données archivées de la sonde SMART-1 ;Archived datas of SMART-1 probe;04/10/2022;04/10/2022
ESPACE ET EXPLORATION;ESPACE ET EXPLORATION;Français;French;Magazine d'astronomie;Astronomy magazine;Articles sur la Lune;Moon articles;https://www.espace-exploration.com/;Magazine français d'astronautique - Articles sur la Lune;French  astronautical magazine - Moon related articles;17.10.2012;17.10.2012
EVENEMENTS D' IMPACTS LUNAIRES (NELIOTA);LUNAR IMPACTS EVENTS (NELIOTA);Anglais;English;Organisme officiel;Official organization;Impacts contemporains;Contemporary impacts;https://neliota.astro.noa.gr/;Le programme de surveillance d'impacts lunaires de l'ESA;ESA lunar impact monitoring program;04/10/2022;04/10/2022
FREE ASTRONOMY MAGAZINE;FREE ASTRONOMY MAGAZINE;Français / Multilangues;French / Multilanguages;Magazine d'astronomie;Astronomy magazine;Articles sur la Lune;Moon articles;https://www.astropublishing.com/;Free magazine multilangues d'astronomie d'amateur - Articles sur la Lune;Free multilanguages amateur astronomy magazine - Moon article;17.10.2012;17.10.2012
GROUPE DE RECHERCHES GEOLOGIQUES LUNAIRES;GEOLOGICAL LUNAR RESEARCHES GROUP;Anglais;English;Organisme non officiel;Non official organization;Association d'amateurs;Amateurs association;http://digilander.libero.it/gibbidomine/;"Groupe international d'amateurs centré sur des recherches géologiques lunaires éditant l'excellente revue ""SELENOLOGY TODAY"" ";"International amateurs group dedicated to geological lunar studies and publisher of the excellent magazine ""SELENOLOGY TODAY"" ";06.09.2012;06.09.2012
ILUJ / L'IMAGE LUNAIRE DU JOUR 2004 -2007;FRENCH LPOD 2004 -2007;Français;French;Blog;Blog;Astronome professionnel;Professional astronomer;http://destiunivers.ap-i.net/ILUJ/;L'image lunaire du jour - version française 2004 à 2006 du site Lunar Picture of the day de Charles Wood créée par Christian Legrand;French translation of Charles Wood 's LPOD from 2004 to 2006 created by Christian Legrand;24.09.2022;24.09.2022
ILUJ / L'IMAGE LUNAIRE DU JOUR 2009 - 2014;FRENCH LPOD 2009 - 2014;Français;French;Blog;Blog;Astronome professionnel;Professional astronomer;http://www.astrosurf.com/iluj/;La traduction française du blog de Charles Wood créée par Christian Legrand et reprise par Jocelyn Sérot et al. de 2009 à 2014;French translation of Charles Wood 's LPOD blog created by Christian Legrand and continued by Jocelyn Sérot from 2009 to 2014;17.10.2012;17.10.2012
IMPACTS LUNAIRES;LUNAR IMPACTS;Anglais;English;Organisme officiel;Official organization;Impacts contemporains;Contemporary impacts;https://www.nasa.gov/centers/marshall/news/lunar/overview.html;Le programme de surveillance d'impacts lunaires de la NASA;NASA lunar impact monitoring program;04/10/2022;04/10/2022
INSTITUT LUNAIRE ET PLANETAIRE AMERICAIN;US LUNAR AND PLANETARY INSTITUTE;Anglais;English;Organisme officiel;Official organization;Atlas lunaire professionnel;Professional lunar atlas;http://www.lpi.usra.edu/resources/mapcatalog/;Toutes les cartes lunaires américaines en ligne;All american lunar maps on line !;06.09.2012;06.09.2012
ISRO / CHANDRAYAAN 1;ISRO / CHANDRAYAAN 1;Anglais;English;Sondes lunaires;Lunar probes;Sondes indiennes;Indian probes;http://www.chandrayaan-i.com/index.php/chandrayaan-1.html;Site officiel de la mission Chandrayaan 1 de l'India Space Research Organisation;Official site of Chandrayaan 1 mission of India Space Research Organisation;30/06/2011;30/06/2011
JAXA / KAGUYA;JAXA / KAGUYA;Anglais;English;Sondes lunaires;Lunar probes;Sondes japonaises;Japanese probes;https://www.isas.jaxa.jp/en/missions/spacecraft/past/kaguya.html;Site officiel de la mission Kaguya de la Japan Aerospace Exploration Agency;Officiel site of Kaguya mission of Japan Aerospace Exploration Agency;30/06/2011;30/06/2011
JAXA / KAGUYA IMAGE GALLERY;JAXA / KAGUYA IMAGE GALLERY;Japonais;Japanese;Sondes lunaires;Lunar probes;Sondes japonaises;Japanese probes;https://darts.isas.jaxa.jp/planet/project/selene/hdtv/index.html.en;Images prises par la sonde Kaguya de la Japan Aerospace Exploration Agency. Lien vers version anglaise du site;Pictures from Kaguya mission of Japan Aerospace Exploration Agency. Link toward english site.;30/06/2011;30/06/2011
JOURNAL DE SURFACE DES MISSIONS APOLLO / NASA;NASA APOLLO LUNAR SURFACE JOURNAL;Anglais;English;Organisme officiel;Official organization;Missions Apollo;Apollo missions;http://www.hq.nasa.gov/alsj/main.html;Transcription des conversations des astronautes des missions Apollo à la surface de la Lune;Apollo missions astronauts conversations on the surface of the Moon;06.09.2012;06.09.2012
KAGUYA HDTV IMAGES;KAGUYA HDTV IMAGES;Anglais;English;Sondes lunaires;Lunar probes;Sondes japonaises;Japanese probes;https://www.darts.isas.jaxa.jp/planet/project/selene/hdtv/menu.html.en;Les images de la sonde japonaise Kaguya / Selene;Kaguya / Selene japanese probe pictures;17.10.2012;17.10.2012
LABORATOIRE LUNAIRE ET PLANETAIRE AMERICAIN;US LUNAR AND PLANETARY LABORATORY;Anglais;English;Organisme officiel;Official organization;Exploration lunaire;Lunar exploration;https://www.lpl.arizona.edu/;Des ressources lunaires américaines en ligne dont des atlas et cartes;American lunar ressources with atlases and maps;24/09/2022;24/09/2022
L'ASTRONOMIE / SAF;L'ASTRONOMIE / SAF;Français;French;Magazine d'astronomie;Astronomy magazine;Articles sur la Lune;Moon articles;https://boutique.saf-astronomie.fr/categorie-produit/magazine-lastronomie/;Magazine français d'astronomie d'amateur - Articles sur la Lune -  Forum d'observation et d'imagerie lunaires;French amateur astronomy magazine - Moon related articles - Lunar observing and imaging forums;17.10.2012;17.10.2012
LE CONSOLIDATED LUNAR ATLAS;THE CONSOLIDATED LUNAR ATLAS;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire professionnel;Professional lunar atlas;http://www.lpi.usra.edu/resources/cla/;Le célèbre atlas lunaire de l'ère pré-spatiale réalisé Gerald P. Kuiper, Ewen A. Whitaker, Robert G. Strom, John W. Fountain, and Stephen M. Larson;The famous pre-spatial lunar realized by Gerald P. Kuiper, Ewen A. Whitaker, Robert G. Strom, John W. Fountain, and Stephen M. Larson;15.10.2012;15.10.2012
LE LUNAR ORBITER PHOTOGRAPHIC ATLAS OF THE MOON;THE LUNAR ORBITER PHOTOGRAPHIC ATLAS OF THE MOON;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire professionnel;Professional lunar atlas;http://www.lpi.usra.edu/resources/lunar_orbiter/;Le célèbre atlas photographique de la Lune établi à partir des images des sondes Lunar Orbiter;The famous photographic atlas of the Moon bases on Lunar Orbiter probes images;15.10.2012;15.10.2012
LE SITE WEB DE CHRISTIAN VILADRICH;CHRISTIAN VILADRICH 'S WEB SITE;Multilingues;Multilanguages;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;http://www.astrosurf.com/viladrich/;Les magnifiques images lunaires de Christian Viladrich. ;Marvelous lunar pictures of Christian Viladrich.;16.10.2012;16.10.2012
LE SITE WEB DE DAMIAN PEACH;DAMIAN PEACH WEB SITE;Anglais;English;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;http://www.damianpeach.com/;Les magnifiques images lunaires de Damian Peach. Un maximum de formations photographiées;Marvelous lunar pictures of  Wes Higgins. Lot of pictured formations.;15.10.2012;15.10.2012
LE SITE WEB DE JEAN-PIERRE BRAHIC;JEAN-PIERRE BRAHIC 'S WEB SITE;Français;French;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;https://www.astrobin.com/users/jp-brahic/;Les magnifiques images lunaires de Jean-Pierre Brahic;Marvelous lunar pictures of Jean-Pierre Brahic;17.10.2012;17.10.2012
LE SITE WEB DE MIKE WIRTHS;MIKE WIRTHS WEB SITE;Anglais;English;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;https://www.simonhanmer52.ca/mike-wirths-images.html;Les magnifiques images lunaires de Mike Wirths;Marvelous lunar pictures of  Mike Wirths;15.10.2012;15.10.2012
LE SITE WEB DE PAOLO LAZZAROTTI;PAOLO LAZZAROTTI 'S WEB SITE;Multilingues;Multilanguages;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;https://www.paololazzarotti.photo/solar-system;Les magnifiques images lunaires de Paolo Lazzarotti. Un maximum de formations photographiées;Marvelous lunar pictures of Paolo Lazzarotti. Lot of pictured formations.;16.10.2012;16.10.2012
LE SITE WEB DE THIERRY LEGAULT;THIERRY LEGAULT 'S WEB SITE;Multilingues;Multilanguages;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;http://www.astrophoto.fr/index_fr.html;Les magnifiques images lunaires de Thierry Legault. ;Marvelous lunar pictures of Thierry Legault;16.10.2012;16.10.2012
LE SITE WEB DE WES HIGGINS;WES HIGGINS 'S WEB SITE;Anglais;English;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;http://higginsandsons.com/astro/;Les magnifiques images lunaires de Wes Higgins ;Marvelous lunar pictures of  Wes Higgins;06.09.2012;06.09.2012
LES PAGES LUNAIRES DE SCIENCE DAILY;SCIENCE DAILY LUNAR PAGES;Anglais;English;Site spécialisé;Specialized site;Astronome professionnel;Professional astronomer;https://www.sciencedaily.com/news/space_time/moon/;Les pages lunaires du site d'actualité scientifique Science Daily;Lunar pages of the scientific actuality site Science Daily;14/10/2022;14/10/2022
LES PAGES LUNAIRES DE SPACEREF;SPACEREF LUNAR PAGES;Anglais;English;Site spécialisé;Specialized site;Astronome professionnel;Professional astronomer;https://spaceref.com/tag/moon/;Les pages lunaires du site d'actualité scientifique Spaceref;Lunar pages of the scientific actuality site Spaceref;14/10/2022;14/10/2022
L'ORIGINE DE LA LUNE;ORIGIN OF THE MOON;Anglais;English;Livre en ligne;On line e-book;Géologie lunaire;Lunar geology;http://ads.harvard.edu/books/ormo/;Le grand classique de W.K. Hartmann;W.K. Hartmann famous book;06.09.2012;06.09.2012
